Transaction ID,Transaction Amount,Transaction Type,Timestamp,Minute,Transaction Status,Fail Flag,Fraud ,Fraud Flag,Geolocation (Latitude),Geolocation (Longitude),Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps)
TXN4822238918,276.76,Withdrawal,10:54:00 AM,54,Failed,1,TRUE,1,55.7558 N, 2.3522 W,Mobile,Slice1,14,101
TXN3884612815,1453.39,Withdrawal,10:12:00 AM,12,Failed,1,FALSE,0,40.7128 N, -74.006 W,Mobile,Slice2,13,151
TXN5126223597,826.75,Withdrawal,10:18:00 AM,18,Failed,1,TRUE,1,40.7128 N, 2.3522 W,Desktop,Slice2,15,232
TXN7417651729,1371.8,Transfer,10:09:00 AM,9,Failed,1,TRUE,1,35.6895 N, 37.6173 W,Mobile,Slice1,8,61
TXN7538176865,604.25,Transfer,10:56:00 AM,56,Failed,1,TRUE,1,55.7558 N, 37.6173 W,Mobile,Slice1,5,129
TXN3914566506,979.89,Withdrawal,10:25:00 AM,25,Failed,1,FALSE,0,40.7128 N, 2.3522 W,Mobile,Slice2,15,225
TXN6302601632,129.78,Transfer,10:11:00 AM,11,Success,0,TRUE,1,51.5074 N, -118.2437 W,Desktop,Slice1,19,106
TXN2088036535,884.55,Transfer,10:04:00 AM,4,Failed,1,TRUE,1,51.5074 N, 37.6173 W,Mobile,Slice2,14,228
TXN1675844695,250.27,Transfer,10:58:00 AM,58,Failed,1,FALSE,0,40.7128 N, 37.6173 W,Mobile,Slice1,7,109
TXN6661143500,1227.89,Transfer,10:29:00 AM,29,Success,0,FALSE,0,34.0522 N, 2.3522 W,Desktop,Slice2,7,70
TXN3325189406,743.4,Transfer,10:37:00 AM,37,Failed,1,FALSE,0,51.5074 N, -74.006 W,Desktop,Slice3,11,222
TXN6805586313,852.42,Withdrawal,10:41:00 AM,41,Failed,1,FALSE,0,34.0522 N, 2.3522 W,Mobile,Slice3,5,250
TXN2113838138,92.6,Withdrawal,10:49:00 AM,49,Success,0,FALSE,0,55.7558 N, 37.6173 W,Desktop,Slice2,7,122
TXN2956253396,499.18,Withdrawal,10:31:00 AM,31,Success,0,TRUE,1,55.7558 N, -74.006 W,Mobile,Slice1,19,231
TXN9549826715,910.24,Withdrawal,10:11:00 AM,11,Success,0,FALSE,0,35.6895 N, 139.6917 W,Mobile,Slice1,15,243
TXN7131992962,992.8,Withdrawal,10:43:00 AM,43,Failed,1,TRUE,1,34.0522 N, 139.6917 W,Desktop,Slice1,11,139
TXN2209185137,793.95,Deposit,10:55:00 AM,55,Success,0,FALSE,0,48.8566 N, 2.3522 W,Mobile,Slice1,8,229
TXN2465139688,1483.75,Transfer,10:03:00 AM,3,Success,0,FALSE,0,55.7558 N, 0.1278 W,Desktop,Slice1,11,82
TXN4231576514,944.51,Withdrawal,10:53:00 AM,53,Failed,1,TRUE,1,34.0522 N, 0.1278 W,Desktop,Slice3,18,228
TXN6050985831,1093.14,Withdrawal,10:05:00 AM,5,Failed,1,FALSE,0,35.6895 N, -118.2437 W,Desktop,Slice3,10,224
TXN6614511449,326.66,Withdrawal,10:41:00 AM,41,Success,0,TRUE,1,34.0522 N, -74.006 W,Mobile,Slice1,3,161
TXN1408798870,819.69,Transfer,10:37:00 AM,37,Failed,1,FALSE,0,48.8566 N, 2.3522 W,Mobile,Slice3,20,135
TXN2483635578,436.83,Withdrawal,10:36:00 AM,36,Failed,1,FALSE,0,35.6895 N, 37.6173 W,Mobile,Slice1,7,99
TXN4437479248,480.29,Withdrawal,10:32:00 AM,32,Failed,1,TRUE,1,51.5074 N, -118.2437 W,Mobile,Slice2,7,84
TXN1414294833,681.23,Deposit,10:03:00 AM,3,Success,0,FALSE,0,48.8566 N, -74.006 W,Desktop,Slice1,14,63
TXN3244921303,434.31,Withdrawal,10:56:00 AM,56,Failed,1,TRUE,1,51.5074 N, -74.006 W,Mobile,Slice2,18,67
TXN4585920895,196.41,Deposit,10:04:00 AM,4,Failed,1,FALSE,0,34.0522 N, -74.006 W,Desktop,Slice3,12,99
TXN3085164852,144.1,Transfer,10:49:00 AM,49,Failed,1,FALSE,0,35.6895 N, -74.006 W,Desktop,Slice2,15,52
TXN4215761542,313.72,Deposit,10:32:00 AM,32,Failed,1,TRUE,1,48.8566 N, 139.6917 W,Desktop,Slice1,19,55
TXN2921000330,209.97,Withdrawal,10:33:00 AM,33,Success,0,FALSE,0,55.7558 N, 0.1278 W,Mobile,Slice2,10,94
TXN1245169622,879.63,Withdrawal,10:14:00 AM,14,Success,0,TRUE,1,34.0522 N, 2.3522 W,Desktop,Slice2,17,240
TXN3864456208,906.98,Withdrawal,10:58:00 AM,58,Failed,1,TRUE,1,35.6895 N, 0.1278 W,Mobile,Slice3,10,102
TXN2157994961,1017.3,Deposit,10:52:00 AM,52,Failed,1,TRUE,1,35.6895 N, 139.6917 W,Mobile,Slice3,11,100
TXN3293165874,972.39,Withdrawal,10:44:00 AM,44,Success,0,TRUE,1,34.0522 N, -118.2437 W,Desktop,Slice3,17,159
TXN2467998038,1436.77,Withdrawal,11:00:00 AM,0,Failed,1,FALSE,0,48.8566 N, -118.2437 W,Mobile,Slice1,16,192
TXN4014434434,1094.34,Transfer,10:55:00 AM,55,Failed,1,FALSE,0,51.5074 N, -118.2437 W,Mobile,Slice1,4,102
TXN5548725719,1235.27,Deposit,10:31:00 AM,31,Success,0,FALSE,0,48.8566 N, 2.3522 W,Mobile,Slice3,9,237
TXN8905996384,737.12,Deposit,10:46:00 AM,46,Success,0,FALSE,0,55.7558 N, -74.006 W,Desktop,Slice3,20,190
TXN6478721697,524.38,Deposit,10:38:00 AM,38,Success,0,TRUE,1,35.6895 N, -74.006 W,Mobile,Slice1,18,203
TXN4336351484,940.3,Deposit,10:55:00 AM,55,Success,0,TRUE,1,35.6895 N, 2.3522 W,Mobile,Slice2,6,214
TXN5262577229,339.18,Deposit,10:19:00 AM,19,Failed,1,FALSE,0,55.7558 N, 2.3522 W,Desktop,Slice2,20,123
TXN9214993999,713.85,Withdrawal,10:38:00 AM,38,Success,0,TRUE,1,48.8566 N, 37.6173 W,Desktop,Slice1,12,127
TXN6819290771,1069.09,Withdrawal,10:24:00 AM,24,Failed,1,TRUE,1,48.8566 N, 139.6917 W,Mobile,Slice2,6,249
TXN6762754838,311.12,Withdrawal,10:32:00 AM,32,Success,0,FALSE,0,55.7558 N, 37.6173 W,Desktop,Slice3,17,225
TXN6621010350,1393.36,Transfer,10:10:00 AM,10,Success,0,FALSE,0,48.8566 N, 0.1278 W,Desktop,Slice3,8,232
TXN2716831379,412.43,Transfer,10:18:00 AM,18,Success,0,FALSE,0,55.7558 N, 2.3522 W,Mobile,Slice1,8,239
TXN4412754237,1246.4,Transfer,10:55:00 AM,55,Success,0,FALSE,0,34.0522 N, 139.6917 W,Desktop,Slice2,9,132
TXN9958195472,713.43,Withdrawal,10:48:00 AM,48,Failed,1,TRUE,1,51.5074 N, 0.1278 W,Desktop,Slice1,20,243
TXN6513452870,497.06,Deposit,10:25:00 AM,25,Failed,1,TRUE,1,40.7128 N, -118.2437 W,Desktop,Slice3,20,113
TXN9430193570,480.26,Deposit,10:13:00 AM,13,Failed,1,TRUE,1,40.7128 N, -118.2437 W,Mobile,Slice2,16,201
TXN6154853073,1446.89,Withdrawal,10:15:00 AM,15,Failed,1,TRUE,1,55.7558 N, -118.2437 W,Mobile,Slice1,15,83
TXN8166922226,72.36,Withdrawal,10:19:00 AM,19,Failed,1,FALSE,0,55.7558 N, 0.1278 W,Mobile,Slice2,20,126
TXN1289142632,1177.64,Transfer,10:32:00 AM,32,Success,0,FALSE,0,34.0522 N, -118.2437 W,Desktop,Slice3,14,125
TXN8741905833,1495.01,Transfer,10:46:00 AM,46,Success,0,TRUE,1,35.6895 N, 0.1278 W,Mobile,Slice1,14,203
TXN4267987212,235.44,Withdrawal,10:49:00 AM,49,Failed,1,TRUE,1,51.5074 N, 0.1278 W,Mobile,Slice3,19,216
TXN2821070438,572.09,Transfer,10:07:00 AM,7,Failed,1,FALSE,0,35.6895 N, 0.1278 W,Mobile,Slice3,19,233
TXN1672215014,513.84,Withdrawal,10:25:00 AM,25,Success,0,TRUE,1,55.7558 N, 37.6173 W,Mobile,Slice2,20,62
TXN8113502181,899.08,Deposit,10:09:00 AM,9,Failed,1,FALSE,0,48.8566 N, 139.6917 W,Desktop,Slice1,10,162
TXN9237255174,765.31,Deposit,10:13:00 AM,13,Success,0,TRUE,1,34.0522 N, 0.1278 W,Desktop,Slice3,7,184
TXN3528546769,677.07,Transfer,10:39:00 AM,39,Failed,1,FALSE,0,51.5074 N, 0.1278 W,Desktop,Slice3,20,87
TXN5396087707,1468.89,Transfer,10:14:00 AM,14,Success,0,FALSE,0,40.7128 N, 0.1278 W,Mobile,Slice1,16,238
TXN7046403704,1344.01,Withdrawal,10:46:00 AM,46,Failed,1,FALSE,0,55.7558 N, 37.6173 W,Mobile,Slice3,10,63
TXN6246207885,571.22,Transfer,10:23:00 AM,23,Success,0,FALSE,0,55.7558 N, 37.6173 W,Desktop,Slice2,15,185
TXN3337399700,1480.16,Deposit,10:24:00 AM,24,Success,0,FALSE,0,55.7558 N, -74.006 W,Mobile,Slice2,10,111
TXN5508021804,980.64,Deposit,10:50:00 AM,50,Failed,1,FALSE,0,35.6895 N, 139.6917 W,Desktop,Slice1,20,237
TXN5377295849,989.51,Withdrawal,10:17:00 AM,17,Success,0,TRUE,1,51.5074 N, 0.1278 W,Mobile,Slice2,15,66
TXN5873377008,724.95,Withdrawal,10:45:00 AM,45,Success,0,FALSE,0,55.7558 N, 139.6917 W,Mobile,Slice3,11,219
TXN6379637727,437.44,Transfer,10:41:00 AM,41,Failed,1,TRUE,1,55.7558 N, 139.6917 W,Mobile,Slice2,9,94
TXN6032073253,1149.48,Transfer,10:07:00 AM,7,Success,0,FALSE,0,35.6895 N, -118.2437 W,Mobile,Slice3,20,74
TXN4435141979,1279.44,Transfer,10:49:00 AM,49,Success,0,FALSE,0,55.7558 N, 37.6173 W,Mobile,Slice1,20,157
TXN2596037056,1240.14,Withdrawal,10:20:00 AM,20,Failed,1,TRUE,1,40.7128 N, -74.006 W,Mobile,Slice1,5,223
TXN2003291230,1303.52,Withdrawal,10:56:00 AM,56,Failed,1,TRUE,1,55.7558 N, 37.6173 W,Mobile,Slice3,18,173
TXN3688688205,526.37,Withdrawal,10:53:00 AM,53,Failed,1,FALSE,0,55.7558 N, 37.6173 W,Mobile,Slice1,19,78
TXN2239357669,1269.91,Withdrawal,10:27:00 AM,27,Failed,1,FALSE,0,34.0522 N, 37.6173 W,Desktop,Slice3,13,116
TXN5485668345,616.37,Transfer,10:48:00 AM,48,Failed,1,TRUE,1,48.8566 N, 139.6917 W,Desktop,Slice1,3,79
TXN1251635719,196.79,Transfer,10:58:00 AM,58,Success,0,FALSE,0,51.5074 N, 139.6917 W,Mobile,Slice2,5,59
TXN6762132763,252.77,Withdrawal,10:03:00 AM,3,Failed,1,TRUE,1,48.8566 N, -74.006 W,Desktop,Slice3,15,67
TXN8623160750,762.47,Withdrawal,10:48:00 AM,48,Failed,1,FALSE,0,35.6895 N, 2.3522 W,Mobile,Slice3,13,183
TXN5936318239,1349.84,Withdrawal,10:52:00 AM,52,Success,0,TRUE,1,40.7128 N, 139.6917 W,Mobile,Slice1,18,110
TXN9200557220,140,Transfer,10:19:00 AM,19,Failed,1,TRUE,1,35.6895 N, 37.6173 W,Desktop,Slice2,7,158
TXN6966473752,1406.15,Transfer,10:56:00 AM,56,Failed,1,FALSE,0,40.7128 N, -74.006 W,Desktop,Slice3,13,235
TXN7094903743,929.9,Transfer,10:19:00 AM,19,Success,0,FALSE,0,55.7558 N, 37.6173 W,Mobile,Slice1,16,134
TXN8282202403,315.13,Withdrawal,10:46:00 AM,46,Failed,1,FALSE,0,35.6895 N, 0.1278 W,Mobile,Slice2,13,61
TXN2346550714,275.22,Deposit,10:43:00 AM,43,Success,0,FALSE,0,40.7128 N, 139.6917 W,Mobile,Slice1,6,94
TXN3001048865,1054.67,Transfer,10:38:00 AM,38,Success,0,FALSE,0,48.8566 N, -74.006 W,Desktop,Slice1,12,118
TXN3954388296,1258.41,Transfer,10:14:00 AM,14,Success,0,FALSE,0,40.7128 N, 0.1278 W,Mobile,Slice2,5,188
TXN4350246343,217.56,Transfer,10:35:00 AM,35,Success,0,TRUE,1,48.8566 N, 0.1278 W,Mobile,Slice1,13,170
TXN3226960880,1174.55,Transfer,10:44:00 AM,44,Failed,1,FALSE,0,40.7128 N, 2.3522 W,Mobile,Slice2,17,84
TXN7891760943,1042.62,Transfer,10:43:00 AM,43,Failed,1,TRUE,1,40.7128 N, 2.3522 W,Desktop,Slice3,20,184
TXN1937189886,51.89,Deposit,10:34:00 AM,34,Failed,1,FALSE,0,48.8566 N, -74.006 W,Mobile,Slice3,17,148
TXN4264661286,757.11,Withdrawal,10:31:00 AM,31,Failed,1,TRUE,1,34.0522 N, -118.2437 W,Desktop,Slice1,9,205
TXN3465692464,802.33,Transfer,10:39:00 AM,39,Success,0,TRUE,1,51.5074 N, -118.2437 W,Desktop,Slice1,16,134
TXN5769283480,556.32,Transfer,11:00:00 AM,0,Failed,1,TRUE,1,48.8566 N, 37.6173 W,Mobile,Slice3,3,144
TXN8525219190,256.48,Withdrawal,10:14:00 AM,14,Failed,1,TRUE,1,55.7558 N, 139.6917 W,Desktop,Slice3,4,195
TXN9707155018,538.85,Deposit,10:40:00 AM,40,Success,0,FALSE,0,48.8566 N, -118.2437 W,Desktop,Slice3,3,100
TXN1600361546,703.98,Withdrawal,10:54:00 AM,54,Success,0,TRUE,1,34.0522 N, -74.006 W,Desktop,Slice2,6,125
TXN5364984512,573.31,Deposit,11:00:00 AM,0,Success,0,TRUE,1,51.5074 N, -118.2437 W,Desktop,Slice1,14,86
TXN9190915445,1317.9,Deposit,10:11:00 AM,11,Failed,1,FALSE,0,48.8566 N, 0.1278 W,Mobile,Slice1,11,77
TXN9993789277,717.18,Deposit,10:13:00 AM,13,Success,0,FALSE,0,55.7558 N, 0.1278 W,Mobile,Slice1,19,191
TXN4326221784,585.21,Withdrawal,10:33:00 AM,33,Success,0,TRUE,1,55.7558 N, -118.2437 W,Mobile,Slice3,20,190
TXN3052947958,370.03,Withdrawal,10:25:00 AM,25,Success,0,FALSE,0,35.6895 N, -74.006 W,Desktop,Slice1,9,196
TXN1092084478,1091.12,Deposit,10:38:00 AM,38,Success,0,TRUE,1,55.7558 N, 37.6173 W,Mobile,Slice2,16,92
TXN9572905121,1181.48,Transfer,10:39:00 AM,39,Failed,1,TRUE,1,34.0522 N, 37.6173 W,Mobile,Slice2,17,164
TXN5843964744,614.35,Deposit,10:46:00 AM,46,Failed,1,FALSE,0,34.0522 N, 2.3522 W,Mobile,Slice3,13,73
TXN7450665604,459.03,Deposit,10:38:00 AM,38,Success,0,TRUE,1,51.5074 N, 0.1278 W,Mobile,Slice1,6,99
TXN8164649264,570.25,Withdrawal,10:55:00 AM,55,Failed,1,FALSE,0,34.0522 N, 37.6173 W,Mobile,Slice2,7,190
TXN5795848137,1080.96,Withdrawal,10:24:00 AM,24,Success,0,TRUE,1,55.7558 N, 0.1278 W,Desktop,Slice1,19,141
TXN8343278895,206.11,Withdrawal,10:39:00 AM,39,Success,0,FALSE,0,34.0522 N, 37.6173 W,Desktop,Slice2,10,241
TXN6206308673,906.4,Transfer,10:09:00 AM,9,Failed,1,FALSE,0,48.8566 N, 139.6917 W,Desktop,Slice2,15,87
TXN5071554698,1234.97,Deposit,10:26:00 AM,26,Success,0,FALSE,0,35.6895 N, -74.006 W,Desktop,Slice3,11,107
TXN6341592948,864.07,Transfer,10:48:00 AM,48,Success,0,FALSE,0,34.0522 N, 0.1278 W,Desktop,Slice1,8,199
TXN6010804010,1168.41,Withdrawal,11:00:00 AM,0,Failed,1,FALSE,0,48.8566 N, 139.6917 W,Mobile,Slice3,15,117
TXN6766899632,1063.01,Transfer,10:31:00 AM,31,Success,0,FALSE,0,55.7558 N, -74.006 W,Mobile,Slice2,3,143
TXN3026357479,578.36,Withdrawal,10:41:00 AM,41,Failed,1,TRUE,1,34.0522 N, 0.1278 W,Mobile,Slice1,11,200
TXN9295124367,389.42,Withdrawal,10:27:00 AM,27,Failed,1,TRUE,1,55.7558 N, -74.006 W,Mobile,Slice1,13,81
TXN1661230242,559.62,Deposit,10:25:00 AM,25,Failed,1,TRUE,1,51.5074 N, -118.2437 W,Mobile,Slice1,11,201
TXN1971749955,176.97,Deposit,10:26:00 AM,26,Success,0,TRUE,1,51.5074 N, -74.006 W,Mobile,Slice3,7,226
TXN7902609594,537.6,Transfer,10:12:00 AM,12,Success,0,TRUE,1,34.0522 N, 2.3522 W,Mobile,Slice1,17,83
TXN7992166468,561.3,Withdrawal,10:08:00 AM,8,Failed,1,TRUE,1,35.6895 N, 139.6917 W,Desktop,Slice3,18,237
TXN4342664555,1135.83,Transfer,10:25:00 AM,25,Failed,1,TRUE,1,40.7128 N, -74.006 W,Mobile,Slice2,19,150
TXN8112417243,499.93,Transfer,10:51:00 AM,51,Success,0,TRUE,1,55.7558 N, 0.1278 W,Desktop,Slice3,18,147
TXN1337209397,889.23,Withdrawal,10:55:00 AM,55,Success,0,TRUE,1,34.0522 N, 0.1278 W,Desktop,Slice2,6,216
TXN3239483041,638.84,Withdrawal,10:04:00 AM,4,Success,0,FALSE,0,35.6895 N, 139.6917 W,Desktop,Slice3,10,105
TXN8594411611,1456.87,Deposit,10:26:00 AM,26,Failed,1,TRUE,1,48.8566 N, 2.3522 W,Mobile,Slice3,8,117
TXN6822123619,561.06,Deposit,10:11:00 AM,11,Failed,1,TRUE,1,40.7128 N, 139.6917 W,Desktop,Slice3,6,79
TXN6454901818,1465.1,Transfer,10:45:00 AM,45,Failed,1,FALSE,0,48.8566 N, 2.3522 W,Desktop,Slice2,7,200
TXN3094737504,753.03,Transfer,10:11:00 AM,11,Success,0,TRUE,1,40.7128 N, -74.006 W,Mobile,Slice1,18,89
TXN1325800005,1421.77,Deposit,10:03:00 AM,3,Failed,1,FALSE,0,55.7558 N, 37.6173 W,Mobile,Slice2,12,181
TXN3721860915,1293.2,Transfer,10:47:00 AM,47,Failed,1,TRUE,1,40.7128 N, -74.006 W,Desktop,Slice2,12,218
TXN8960596167,1080.33,Transfer,10:59:00 AM,59,Success,0,FALSE,0,48.8566 N, 2.3522 W,Desktop,Slice1,8,182
TXN8567860618,976.88,Withdrawal,10:20:00 AM,20,Success,0,FALSE,0,35.6895 N, -118.2437 W,Desktop,Slice2,14,150
TXN2567753845,1250.33,Deposit,10:51:00 AM,51,Success,0,TRUE,1,34.0522 N, 139.6917 W,Mobile,Slice1,12,247
TXN1783258965,560.21,Deposit,10:45:00 AM,45,Failed,1,TRUE,1,55.7558 N, 37.6173 W,Mobile,Slice3,12,113
TXN6569078109,604.58,Withdrawal,10:43:00 AM,43,Failed,1,FALSE,0,35.6895 N, 0.1278 W,Mobile,Slice2,9,231
TXN2359071560,724.63,Deposit,10:29:00 AM,29,Success,0,FALSE,0,35.6895 N, 139.6917 W,Desktop,Slice2,17,188
TXN8283960952,486.01,Transfer,10:47:00 AM,47,Success,0,TRUE,1,34.0522 N, 0.1278 W,Mobile,Slice3,15,104
TXN4210826474,883.68,Transfer,10:04:00 AM,4,Failed,1,TRUE,1,35.6895 N, 2.3522 W,Mobile,Slice3,14,90
TXN6009434046,750.92,Transfer,10:23:00 AM,23,Success,0,TRUE,1,51.5074 N, 37.6173 W,Desktop,Slice2,6,235
TXN1719512608,1065.66,Deposit,10:59:00 AM,59,Success,0,TRUE,1,40.7128 N, 2.3522 W,Desktop,Slice2,6,190
TXN6960545700,475.88,Withdrawal,10:45:00 AM,45,Failed,1,FALSE,0,34.0522 N, 139.6917 W,Desktop,Slice2,9,159
TXN4205537111,1121.31,Transfer,10:38:00 AM,38,Failed,1,FALSE,0,55.7558 N, 37.6173 W,Mobile,Slice1,20,95
TXN4387242707,308.66,Withdrawal,10:48:00 AM,48,Success,0,FALSE,0,35.6895 N, -118.2437 W,Desktop,Slice1,6,123
TXN1231957148,841.79,Withdrawal,10:16:00 AM,16,Success,0,TRUE,1,35.6895 N, -74.006 W,Mobile,Slice3,7,76
TXN5388880723,189.14,Transfer,10:26:00 AM,26,Failed,1,TRUE,1,40.7128 N, 2.3522 W,Desktop,Slice2,8,69
TXN2331276401,1054.35,Deposit,10:59:00 AM,59,Success,0,FALSE,0,48.8566 N, -74.006 W,Desktop,Slice1,11,120
TXN2332983910,1483.09,Transfer,10:51:00 AM,51,Failed,1,FALSE,0,48.8566 N, 0.1278 W,Desktop,Slice3,9,209
TXN9541784204,645.4,Withdrawal,10:23:00 AM,23,Failed,1,FALSE,0,34.0522 N, 2.3522 W,Desktop,Slice3,12,99
TXN9572855642,536.4,Transfer,10:35:00 AM,35,Success,0,TRUE,1,51.5074 N, -118.2437 W,Mobile,Slice1,16,84
TXN1422419582,1098.59,Transfer,10:55:00 AM,55,Failed,1,TRUE,1,48.8566 N, 2.3522 W,Desktop,Slice2,18,240
TXN5779708393,1096.78,Transfer,10:01:00 AM,1,Success,0,TRUE,1,35.6895 N, 2.3522 W,Desktop,Slice1,6,220
TXN4181704626,258.8,Deposit,10:32:00 AM,32,Failed,1,TRUE,1,35.6895 N, -74.006 W,Desktop,Slice1,12,74
TXN8861420026,1372.5,Transfer,10:56:00 AM,56,Failed,1,TRUE,1,35.6895 N, 2.3522 W,Desktop,Slice3,12,185
TXN3799698655,549.88,Deposit,10:02:00 AM,2,Success,0,FALSE,0,48.8566 N, 139.6917 W,Desktop,Slice2,11,98
TXN7810281706,472.7,Transfer,10:58:00 AM,58,Failed,1,TRUE,1,51.5074 N, 139.6917 W,Desktop,Slice2,6,250
TXN9850226469,296.54,Transfer,10:53:00 AM,53,Failed,1,TRUE,1,48.8566 N, 37.6173 W,Mobile,Slice1,20,229
TXN3750511080,435.39,Transfer,10:42:00 AM,42,Failed,1,TRUE,1,48.8566 N, 37.6173 W,Desktop,Slice3,10,90
TXN1548767950,1445.47,Deposit,10:53:00 AM,53,Failed,1,FALSE,0,51.5074 N, -74.006 W,Desktop,Slice1,12,139
TXN6414718450,334.45,Transfer,10:55:00 AM,55,Failed,1,TRUE,1,40.7128 N, 139.6917 W,Desktop,Slice3,9,211
TXN5456147067,457.97,Transfer,10:22:00 AM,22,Success,0,FALSE,0,51.5074 N, 139.6917 W,Desktop,Slice3,7,80
TXN7966767439,1304.37,Transfer,10:44:00 AM,44,Failed,1,TRUE,1,34.0522 N, 2.3522 W,Desktop,Slice3,4,192
TXN2768153137,936.43,Transfer,10:34:00 AM,34,Success,0,FALSE,0,40.7128 N, -74.006 W,Mobile,Slice1,20,150
TXN5246873289,1228,Withdrawal,10:23:00 AM,23,Failed,1,TRUE,1,51.5074 N, 37.6173 W,Mobile,Slice1,19,177
TXN8359126525,615.2,Deposit,10:01:00 AM,1,Success,0,FALSE,0,34.0522 N, -74.006 W,Desktop,Slice2,13,244
TXN4034217983,1231.61,Deposit,10:46:00 AM,46,Success,0,TRUE,1,48.8566 N, -74.006 W,Desktop,Slice3,11,188
TXN2357448364,349.49,Withdrawal,10:26:00 AM,26,Failed,1,FALSE,0,34.0522 N, 37.6173 W,Desktop,Slice2,7,115
TXN3342617288,454.59,Deposit,10:25:00 AM,25,Success,0,TRUE,1,34.0522 N, -74.006 W,Desktop,Slice2,20,130
TXN7830195715,657.19,Deposit,10:01:00 AM,1,Failed,1,FALSE,0,55.7558 N, -74.006 W,Desktop,Slice3,6,168
TXN8864740605,1149.81,Deposit,10:34:00 AM,34,Success,0,TRUE,1,35.6895 N, 37.6173 W,Mobile,Slice3,3,138
TXN8449877320,298.71,Withdrawal,10:54:00 AM,54,Failed,1,FALSE,0,40.7128 N, 2.3522 W,Desktop,Slice3,6,70
TXN1640299129,1060.59,Withdrawal,10:17:00 AM,17,Success,0,FALSE,0,34.0522 N, 2.3522 W,Desktop,Slice1,14,135
